Time(S);YoungBefore(KB);YoungAfter(KB);YoungAllocated(KB);OldBefore(KB);OldAfter(KB);OldAllocated(KB);OldYoungBefore(KB);OldYoungAfter(KB);OldYoungAllocated(KB);PermBefore(KB);PermAfter(KB);PermAllocated(KB);TotalBefore(KB);TotalAfter(KB);TotalAllocated(KB)
5,365;95137;9545;153600;0;72;349696;95137;9617;503296;;;;;;
5,391;9545;0;153600;72;9235;349696;9617;9235;503296;15964;15956;786432;25581;25191;1289728
8,593;132096;11448;153600;9235;9235;349696;141331;20683;503296;;;;;;
10,099;143544;18112;153600;9235;9236;349696;152779;27348;503296;;;;;;
12,243;150208;21491;285696;9236;11750;349696;159444;33241;635392;;;;;;
18,659;285683;21486;285696;11750;27707;349696;297433;49193;635392;;;;;;
20,917;285678;21486;524800;27707;44997;349696;313385;66483;874496;;;;;;
24,904;524782;46586;549888;44997;52637;349696;569779;99223;899584;;;;;;
28,992;549882;58858;600576;52637;74521;349696;602519;133379;950272;;;;;;
31,795;600554;78839;620544;74521;101112;349696;675075;179951;970240;;;;;;
36,333;620535;78826;537600;101112;127751;349696;721647;206577;887296;;;;;;
45,310;537578;50648;579072;127751;191037;349696;665329;241685;928768;;;;;;
50,651;509400;43130;560640;191037;227504;349696;700437;270634;910336;;;;;;
56,621;508026;26871;572928;227504;242201;349696;735530;269072;922624;;;;;;
60,212;491767;16484;587264;242201;252614;349696;733968;269098;936960;;;;;;
243,167;501860;24834;590336;252614;257367;349696;754474;282201;940032;;;;;;
243,882;510210;4081;594432;257367;272401;349696;767577;276482;944128;;;;;;
280,194;496625;23655;516608;272401;274028;349696;769026;297683;866304;;;;;;
382,099;516069;15244;595968;274029;285563;349696;790098;300807;945664;;;;;;
419,681;208844;12983;593408;285564;292703;349696;494408;305686;943104;;;;;;
419,703;12983;0;593408;292703;245337;349696;305686;245337;943104;157091;156743;786432;462777;402080;1729536
548,827;498176;20319;593408;245337;245337;349696;743513;265656;943104;;;;;;
642,296;246279;13781;525312;245337;250762;349696;491616;264543;875008;;;;;;
642,320;13781;0;525312;250762;252376;349696;264543;252376;875008;157735;157733;786432;422278;410109;1661440
724,684;117698;9295;592896;252377;252377;349696;370075;261672;942592;;;;;;
724,698;9295;0;592896;252377;249553;349696;261672;249553;942592;157819;157819;786432;419491;407372;1729024
765,963;29982;5537;517120;249553;249553;349696;279535;255090;866816;;;;;;
765,975;5537;0;517120;249553;246892;349696;255090;246892;866816;157846;157846;786432;412936;404738;1653248
1088,459;368578;14623;584704;246893;246892;349696;615471;261515;934400;;;;;;
1088,494;14623;0;584704;246892;255459;349696;261515;255459;934400;159826;159824;786432;421341;415283;1720832
1151,843;107797;9371;521216;255460;255459;349696;363257;264830;870912;;;;;;
1151,863;9371;0;521216;255459;253316;349696;264830;253316;870912;159932;159932;786432;424762;413248;1657344
1311,289;511488;7822;540160;253316;253317;349696;764804;261139;889856;;;;;;
1852,120;499342;11130;483840;253317;255931;349696;752659;267061;833536;;;;;;
2264,832;483706;11101;497152;255931;258554;349696;739637;269655;846848;;;;;;
2408,125;465245;15946;453120;258554;261024;349696;723799;276970;802816;;;;;;
2441,455;452682;2562;461824;261024;264556;349696;713706;267118;811520;;;;;;
2464,375;422914;18153;422912;264556;265191;349696;687470;283344;772608;;;;;;
2480,010;422633;22940;427520;265191;272149;349696;687824;295089;777216;;;;;;
2529,159;412572;3525;378880;272149;277275;349696;684721;280800;728576;;;;;;
2547,943;378821;5098;397312;277275;278051;349696;656096;283149;747008;;;;;;
2649,497;366570;5016;353792;278051;279727;349696;644621;284743;703488;;;;;;
2694,845;353688;3396;370176;279727;281354;349696;633415;284750;719872;;;;;;
2824,849;339780;4921;329728;281354;282330;349696;621134;287251;679424;;;;;;
2913,210;329529;1321;344576;282330;283122;349696;611859;284443;694272;;;;;;
3037,670;314665;2664;305664;283122;283387;349696;597787;286051;655360;;;;;;
3139,387;305256;5100;319488;283387;284130;349696;588643;289230;669184;;;;;;
3330,195;297452;1359;284160;284130;284930;349696;581582;286289;633856;;;;;;
4258,338;283848;4368;298496;284929;285537;349696;568777;289905;648192;;;;;;
4752,695;221557;3838;277504;285537;286852;349696;507094;290690;627200;;;;;;
4752,711;3838;0;277504;286852;230847;349696;290690;230847;627200;179703;179115;786432;470393;409962;1413632
5389,893;273408;7584;284160;230847;230847;349696;504255;238431;633856;;;;;;
6284,395;271776;9304;265216;230847;232069;349696;502623;241373;614912;;;;;;
6462,771;264792;2995;266240;232069;233781;349696;496861;236776;615936;;;;;;
6594,835;250291;4232;244224;233781;234484;349696;484072;238716;593920;;;;;;
6744,323;243523;9135;249344;234485;235806;349696;478008;244941;599040;;;;;;
6892,003;241071;8016;232960;235806;237670;349696;476877;245686;582656;;;;;;
7178,413;232784;7031;231936;237670;239315;349696;470454;246346;581632;;;;;;
7222,248;225143;5181;217088;239315;240891;349696;464458;246072;566784;;;;;;
7283,035;216637;4557;218624;240891;241813;349696;457528;246370;568320;;;;;;
7322,297;209869;2880;202240;241813;242919;349696;451682;245799;551936;;;;;;
7410,879;202048;2032;206848;242919;243623;349696;444967;245655;556544;;;;;;
7781,290;195568;6436;194560;243623;244297;349696;439191;250733;544256;;;;;;
7860,978;194340;1315;195072;244297;245540;349696;438637;246855;544768;;;;;;
8207,496;184097;1115;179200;245539;245995;349696;429636;247110;528896;;;;;;
8354,014;93376;3541;193024;245995;246371;349696;339371;249912;542720;;;;;;
8354,027;3541;0;193024;246371;238280;349696;249912;238280;542720;180215;179628;786432;430127;417908;1329152
8452,729;177664;3763;177152;238280;238281;349696;415944;242044;526848;;;;;;
8499,063;176819;1024;178688;238281;239435;349696;415100;240459;528384;;;;;;
8831,987;169472;4533;168448;239435;239690;349696;408907;244223;518144;;;;;;
8950,657;168373;6700;169984;239690;240662;349696;408063;247362;519680;;;;;;
9210,676;166444;6848;162816;240662;242511;349696;407106;249359;512512;;;;;;
9846,272;162496;4373;160256;242511;244519;349696;405007;248892;509952;;;;;;
10209,341;155903;4944;156672;244518;246062;349696;400421;251006;506368;;;;;;
10305,000;87661;7894;161792;246063;247220;349696;333724;255114;511488;;;;;;
10305,021;7894;0;161792;247220;243549;349696;255114;243549;511488;179944;179649;786432;435058;423198;1297920
10560,008;149504;5027;162304;243549;243549;349696;393053;248576;512000;;;;;;
10614,067;154531;4195;163328;243549;244453;349696;398080;248648;513024;;;;;;
10647,560;155235;848;162816;244453;245464;349696;399688;246312;512512;;;;;;
10652,960;151888;384;163328;245464;245680;349696;397352;246064;513024;;;;;;
10734,189;151936;2916;163328;245680;245840;349696;397616;248756;513024;;;;;;
10744,478;154468;2116;164352;245840;246424;349696;400308;248540;514048;;;;;;
10759,305;155204;993;163840;246424;246903;349696;401628;247896;513536;;;;;;
10774,961;154081;4764;164864;246903;247224;349696;400984;251988;514560;;;;;;
10787,508;158876;2032;164352;247224;248001;349696;406100;250033;514048;;;;;;
10986,549;155944;2481;165376;248002;248473;349696;403946;250954;515072;;;;;;
11018,265;157587;3755;164864;248473;249270;349696;406060;253025;514560;;;;;;
11042,753;158891;735;165888;249270;250065;349696;408161;250800;515584;;;;;;
11052,829;157407;672;165888;250065;250321;349696;407472;250993;515584;;;;;;
11062,260;157344;576;166400;250321;250416;349696;407665;250992;516096;;;;;;
11088,517;158272;608;166400;250416;250512;349696;408688;251120;516096;;;;;;
11496,089;158304;1427;166912;250512;250625;349696;408816;252052;516608;;;;;;
11522,559;43150;6420;164864;250625;251328;349696;293775;257748;514560;;;;;;
11522,570;6420;0;164864;251328;242812;349696;257748;242812;514560;180051;179762;786432;437799;422574;1300992
11608,733;158208;3381;166400;242812;242812;349696;401020;246193;516096;;;;;;
